Month,January,January,January,January,January,February,February,February,February,February,March,March,March,March,March,April,April,April,April,April,May,May,May,May,May,June,June,June,June,June,July,July,July,July,July,August,August,August,August,August
Attributes,QTY,Units,Rate,GST,Total,QTY,Units,Rate,GST,Total,QTY,Units,Rate,GST,Total,QTY,Units,Rate,GST,Total,QTY,Units,Rate,GST,Total,QTY,Units,Rate,GST,Total,QTY,Units,Rate,GST,Total,QTY,Units,Rate,GST,Total
Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,8,0,37,0,296,8,0,38,0,304,8,0,38,0,304,8,0,44,0,352,16,0,38,0,608,0,0,0,0,0,8,0,38,0,304,8,0,42,0,336
Jowar,3,0,32,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Split Green Gram,2,0,72,0,144,1.5,0,65,0,97.5,2,0,62,0,124,2,0,68,0,136,2,0,64,0,128,2,0,66,0,132,2,0,72,0,144,2,0,78,0,156
Split Red Gram,1,0,84,0,84,2,0,75,0,150,2,0,75,0,150,1,0,78,0,78,1,0,80,0,80,1.5,0,80,0,120,1.5,0,84,0,126,1.5,0,78,0,117
Split Black Gram,1,0,88,0,88,0,0,0,0,0,0,0,0,0,0,1,0,76,0,76,0,0,0,0,0,1,0,68,0,68,0,0,0,0,0,0,0,0,0,0
Sugar,3,0,35,5,105,3,0,32,4.57,96,2,0,29,2.76,58,2,0,34,3.24,68,2,0,34,3.24,68,3,0,33,4.71,99,2,0,33,3.14,66,3,0,32.5,4.64,97.5
Wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooking Oil,0,3,112,16,336,0,4,95,18.1,380,0,3,95,13.57,285,0,3,98,14,294,0,3,120,17.14,360,0,4,102,19.43,408,0,3,99,14.14,297,0,3,99,14.14,297
Tide,0,2,97.5,0,195,0,2,92,0,184,0,2,92,0,184,0,2,92,0,184,0,2,92,0,184,0,1,194,0,194,0,1,96,0,192,0,2,99,0,198
Ariel,0,1,103,22.53,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
